,Extraversion,Neuroticism,Agreeableness,Conscientiousness,Openness
GANDALF,3.88256837786767e-09,0.02035766838348798,1.0470974823160207e-05,6.046522631171742e-08,0.0002610573298109522
SAM,0.9614640565298626,0.005876233027377038,0.7335323406440676,0.9999984727515399,0.999999999982432
FRODO,0.004434083694602684,1.2889528285146535e-06,0.3445254970463927,0.9999998309768271,0.9999999998833617
ARAGORN,0.9950441622889349,7.132356926574104e-07,0.935573520464229,0.02179761182911442,1.0
GOLLUM,3.533478829960857e-08,9.415128664919205e-05,0.016761458856443697,0.9999781410528866,0.9999999999999855
THEODEN,1.1068768268885377e-07,0.012400805155280206,0.0008872761676367389,0.9998378020425239,0.9999999999999993
PIPPIN,0.07099052184433793,0.00020567228370062192,0.9959503054530966,0.9907914946334199,1.0
GIMLI,0.07610991963363253,0.0020047488487391495,0.010964447264446895,0.9999999999975249,0.9999999858597166
BILBO,0.24557004717233627,0.00050496364881009,4.636579591543805e-05,0.9999999999997508,0.9999999999986484
MERRY,0.0012731575144945301,3.1661971791783666e-07,0.26328461394576036,0.11731337274775874,0.9999999999979273
FARAMIR,0.9998002818729474,0.0032999985400038005,0.7085964243103315,0.00013597551644344057,0.9999999999982684
DENETHOR,0.9998166690071211,1.584353685412029e-07,0.9292921956912819,2.423801126981314e-05,0.9489775106662398
TREEBEARD,0.00016145275864163283,0.8031965079106961,0.9999981454753522,0.9999999997263742,0.9999999999853889
ELROND,4.1244574868851004e-07,0.00012936420873738898,0.003999297530557647,0.9999983467443319,0.999999999849637
SARUMAN,0.9838312242637975,0.0528996740395958,0.0002781688985363457,0.9995806073168556,0.9999999997437584
EOWYN,0.3429049114146942,8.719412622454195e-05,0.022573876881388892,0.9999999999977085,0.9999999999996358
BOROMIR,0.93836467083818,0.9299493439464384,0.15562779070202631,2.925064105471012e-06,0.893457775462674
LEGOLAS,0.024438729780716806,2.86163639313875e-05,3.35480647173778e-05,0.999999725583877,0.9999999978315545
GALADRIEL VOICE OVER,0.10571184347640457,0.00012508569516315663,0.9025179400876817,2.588035527377638e-06,0.9999999999755446
EOMER,0.9995029143743153,6.328793733040159e-10,0.999999999999827,0.997246616490116,0.999999998625215
SMEAGOL,0.9968093238383016,0.00015735656922047448,0.07676327051901813,1.5569119943370768e-07,0.9989608291465233
GRIMA,7.127412093390066e-09,2.297980269007089e-05,0.2574070237460179,0.9999827932567842,0.9999999987192382
ARWEN,2.5833410178220413e-08,0.02213435252412089,0.9965336336070821,0.999999987000345,0.9999991710557066
STRIDER,0.5830542641425154,1.9743412258478347e-08,0.9940714073915891,2.734171115950143e-08,0.9999999200114538
ORC,0.9999993496235696,0.11790526853926905,0.9999999999995858,1.1282683563008904e-15,0.9157830770972428
SOLDIER,0.00019801810012783793,1.8522243376585388e-06,0.7043766827684087,1.0696659816006155e-08,0.9244111981191642
MADRIL,0.9999999999185615,0.0048861090196879245,0.9219408301073505,3.037714029500598e-08,0.8270292395749725
BILBO VOICEOVER,0.0005075024930380045,3.3376853517415524e-05,0.09860800667167165,6.777822379341925e-14,0.9999999988682765
SARUMAN VOICE OVER,0.9999999994879989,2.0862784308111863e-12,0.9999209411484017,0.9999973096144223,0.9995865334131523
SHAGRAT,0.3892092777626561,0.6530479672300402,1.6744761852759516e-06,2.3158088225761717e-07,0.06933285053490887
GAMLING,3.9646579340566635e-05,5.3448400342027224e-08,1.378411820692582e-07,0.9999532853184141,0.9999999999974343
GOTHMOG,0.9999999989964735,0.3040651536939437,1.3391596448202674e-05,2.709578128264541e-10,0.9999498120983412
ELROND VOICEOVER,0.9997706297047625,0.22090098650184645,0.9673031981373625,0.4275656102268628,0.9999999560593397
BARLIMAN,0.9991355031290073,1.9163481072276698e-08,0.001911648716873825,0.7376811285224744,0.9999999864239195
MOUTH OF SAURON,0.9999999989964735,0.3040651536939437,1.3391596448202674e-05,2.709578128264541e-10,0.9999498120983412
GAN DALF,6.338464662893767e-11,0.0057131489937967215,0.050784179986273256,0.9999999855140574,0.999035174518073
GANDALF VOICE OVER,0.8974435249492808,0.0002183571695333429,0.0006562336502744774,0.0015233357267468973,0.9999994022520212
MERRY and PIPPIN,0.9952178846237901,0.00024919799428606645,0.0005068072485162427,0.9820627581128374,1.0
GANDALF VOICEOVER,2.879247814832675e-06,3.8209547900538124e-05,0.719592720920606,0.9605042414833314,0.9999956919687933
WITCH KING,0.8560423916447336,0.6343917444192877,0.42601606395318486,0.003169403360159843,0.9999999699206962
KING OF THE DEAD,0.9999999236213741,0.0003522438961155251,1.0852051487033485e-06,0.999999964410967,0.9999999999999872
SAM VOICEOVER,0.15837614737095526,2.861887907829762e-06,0.7331647338206299,0.021605898608292397,0.9999999999994001
UGLUK,0.9999468350290487,1.3615182177790672e-08,0.8840688186636474,0.07430565953856347,0.9999999999637387
HAMA,0.868437369236473,0.14721444615806473,0.05007794974568134,2.7320211132507293e-05,0.9999989679661679
HALDIR,0.0006384844532831648,3.981552720353395e-05,0.9986753477722774,0.6106637128546423,0.9999999999564586
GALADRIEL,0.770400378712391,3.4617670016972003e-07,0.4872604923567275,0.9583691636139647,0.9997834124512925
SANDYMAN,0.9999999784270696,0.9950337658853877,0.9999999999998742,9.504225138084055e-11,0.9178759276716921
FRODO VOICE OVER,0.7508114758672126,7.648248124176832e-10,0.9999999993372006,0.0007877640621924715,0.9999999999647734
MORWEN,0.9999831805453754,7.124508454433134e-09,8.4738749135108e-06,7.546758537292171e-09,0.9999792339530096
GALADRIEL VOICEOVER,0.9542526889737513,3.909565161355388e-06,0.2866954994863623,0.9999999997488059,0.05717783120726856
GATEKEEPER,0.9251695573640619,6.297587897430187e-09,0.21784608949401676,1.048065437024479e-08,0.9999819186710616
GRISHNAKH,0.7371455059300508,2.489078060799822e-10,0.003753141397444626,0.10050276931848175,0.8625526612574225
SARUMAN VOICEOVER,0.9858949108498521,0.9259637642957191,0.4858440466084176,1.846626999197954e-13,0.9999999927123644
FARMER MAGGOT,0.7274325681223387,0.00013546323047260368,0.30415846813509684,0.2469910847096372,0.99999999999597
GAFFER,0.7282821384983325,5.096312750775549e-09,0.9955807615995951,1.7087992381673186e-08,0.6082622940088768
GORBAG,0.9972564219358304,6.331170737758525e-06,0.9999970798773296,1.285199071710731e-08,0.9999999999995957
SAURON VOICE,0.0007135756169559138,0.9990414821613017,0.04582785284689703,0.9999999523391928,0.9999999999999982
SNAGA,0.9591576941089656,3.6176199407133725e-09,0.11408152803234765,2.796456296558331e-10,0.9999992251361103
URUK HAI,0.6096952304634203,0.00017496994377361863,0.9428303275015584,0.5870409714558722,0.9999999964736876
IROLAS,0.9999140659578376,6.401316928904571e-05,0.08751752838389994,0.875210537185535,0.9999999868639241
GATEKEEPR,0.9998702979798164,0.28332880888191814,0.015118056969631064,0.7336143554308869,0.999999690174038
ARWEN VOICEOVER,0.9999745236984194,0.2094271848124009,0.09937551008773113,0.870081995608663,0.9999999999755461
GALADRIEL VOICE-OVER,0.9072372967151653,0.9969399844794549,0.3232236704904919,1.3566420285552128e-14,1.0
GALADRIL,0.8283190936167815,0.0056807366103171315,0.035441251823483566,1.4503246015937914e-13,0.9999999987493895
GENERAL,0.4114269621894168,5.956155128768296e-07,0.9283606109879556,3.556081545523136e-12,0.999999937252808
CAPTAIN,0.9194830436763801,6.946498391023248e-09,0.998643601046363,2.75313264720205e-12,0.0003164420127833692
DEAGOL,1.868260002631079e-05,4.949416250232246e-12,0.9998605040400422,0.9989679490754219,0.9999999782243323
FREDA,0.9945817802121489,9.264288961015177e-07,0.20279124919910457,2.6186896650588977e-06,0.9999352216927987
ROHAN STABLEMAN,0.0002048489629305669,4.943057001520782e-13,0.9997565255059457,0.0001451576251542891,0.9983404750557522
ARGORN,0.23191330561497434,8.064405004639112e-07,0.6368393084496168,0.00010736414810522963,0.9999991822971916
HOBBIT,0.9997956564768227,0.025629783149782565,0.015852280918186596,0.976694188706331,0.9998870107279612
ORCS,0.9999998691883768,0.17353494148200505,0.9690019823745356,0.35725409405828157,0.9999999999962432
SOLDIERS,2.4970281392058627e-05,1.4029711327871928e-07,0.4973841152412971,0.00012824408018578888,0.9928038227756414
WOMAN,0.00030002223140484824,0.000376343055662835,0.5378454015240337,0.9563738482946521,0.9999262061456589
URUK-HAI,0.10886218233722962,4.784032448219825e-05,0.3374010948879803,0.0010773616212490995,0.9999999999778193
WILDMAN,2.512139642371101e-07,0.00038580644079321485,0.0014456887829856142,1.8000237911956205e-11,0.9983388058744564
PEOPLE,0.9999956724000404,9.458320302925505e-06,0.1043462274022092,5.008685622554551e-18,0.9999866726167468
ROHAN HORSEMAN,0.9944117633833118,6.043239019491756e-08,0.9980418374726557,0.658271886509253,0.9999999937558876
SHARKU,0.44999280725838026,1.0035049864025526e-08,0.9755669998595966,8.694879831461088e-06,0.9934768874587745
NOAKES,0.00017516593245905322,1.4369223786253862e-10,0.26097097650687007,0.997089578394933,0.9999999999152329
MAN,0.289132712026271,7.1340644698517e-05,0.03867822171553389,0.9996787452532978,1.0
VOICE,0.9999999595881253,2.380207457689789e-05,0.09838711089956673,0.3819168214506242,0.9999999999997982
GRIMBOLD,0.9971156834029508,6.3840823039648e-09,0.9994102991751254,0.07972017948810348,0.27108840257547473
WHITE WIZARD,0.999967408205481,2.1350805690524572e-13,0.9999999996421751,0.9999725649339446,0.0024187510542670364
FIGWIT,6.120356998164268e-05,0.41784331567080885,0.00197909905632725,0.3675345123837536,0.9993474832506871
GRISHNAK,0.9945817802121489,9.264288961015177e-07,0.20279124919910457,2.6186896650588977e-06,0.9999352216927987
CHILDREN HOBBITS,0.7605864737874102,0.6656788667404743,0.9996323277265283,0.004370416984084848,0.9999999999999796
BOSON,0.9998734032338016,5.342718665696937e-10,0.9705684572846813,0.0007626850966016536,0.9999999999999745
GENERAL SHOUT,0.7217642781030816,1.3573940365091234e-07,0.00899455189140549,3.523086372510651e-10,0.9946035113290808
MERCENARY,0.9945817802121489,9.264288961015177e-07,0.20279124919910457,2.6186896650588977e-06,0.9999352216927987
CROWD,7.586799521817234e-05,0.6991873392509242,3.055626256761452e-08,1.0267203856915153e-07,1.0
ROSIE,0.6489894058468912,9.635419563567752e-10,0.8823664856221154,0.8914585527448333,0.5847300117055515
DAMROD,0.01800009427620532,0.9915538621220484,0.0002925888246540662,0.0003382247683056196,0.9999997952744467
SOLDIERS IN MINAS TIRITH,0.9987418165418731,6.306050751848578e-05,0.9999932897635183,1.1051986921677449e-06,7.535732760167237e-06
SOLDIER 2,0.08297641764327025,4.677030511514153e-10,0.0850239638529204,5.02101903795997e-13,0.9999999708728529
LADY,0.9869434219939613,1.0270949971440285e-06,0.5474022337981805,0.013943323460424085,0.9999999999992231
RING,0.9999999403916329,0.00018731898716763977,2.8841827705744715e-06,0.5458835309334797,0.9999984832225112
SOLDIERS ON GATE,0.9999632597787675,0.0014030930062475784,0.5053683606292506,0.6243980568253233,0.9999989577095109
ROHIRRIM,0.8732170647252084,2.0188318294212588e-09,0.028851278842726404,4.0321827332088867e-13,0.0004682432146659375
SOLDIER 1,0.8616049019970111,4.982864759830839e-07,0.9800520827215525,0.9759315375234007,0.9999999998103357
SAURON,0.9945817802121489,9.264288961015177e-07,0.20279124919910457,2.6186896650588977e-06,0.9999352216927987
ARMY,0.9780157612634228,5.991843036406309e-12,0.8257580242954117,1.3970694400067623e-06,1.0
EYE OF SAURON,0.9999999998327803,4.994208601799703e-10,0.19269379426202277,0.9996445355818043,0.9999999978768461
EOTHAIN,0.9998245275880044,3.825443869524001e-08,0.5616204443064685,2.0981182384206885e-13,1.0
MERRY AND PIPPIN,0.9993061808091822,6.639751358991802e-08,0.34656923726051914,2.5573478561362746e-05,0.9999881365765694
EOWYN/MERRY,0.8440924392140351,0.10191452779781973,0.8148431014779185,0.20545306485908318,0.9999999978932503
OLD MAN,0.9945817802121489,9.264288961015177e-07,0.20279124919910457,2.6186896650588977e-06,0.9999352216927987
FRODO VOICE,0.9999981902787107,0.9999999999980167,0.9999999861759337,0.8523688729787358,1.0
MRS BRACEGIRDLE,0.693766321135894,2.539650464380081e-05,0.31572342581947405,1.1109138787411098e-06,0.9999999998825114
PROUDFOOT HOBBIT,0.00017016805168821363,3.612468925960584e-08,0.5186738834741308,0.10029533714640135,0.9995054117164164
MEN,0.999659530555217,0.15951586332379464,9.064687797611564e-08,0.5371236637406341,0.8332726704153932
